MIP_ID	Subspecies	Subspecies_MIP_paralog
0057	hybF2	no paralog
0057	montandoni	no data
0057	vulgaris	no data
0058	graecus	no data
0058	hybF2	no data
0058	montandoni	no data
0058	vulgaris	no data
0059	graecus	no paralog
0059	hybF2	no paralog
0059	montandoni	no data
0059	vulgaris	no data
0060	graecus	paralog
0060	hybF2	no paralog
0060	montandoni	no data
0060	vulgaris	no data
0061	graecus	no paralog
0061	hybF2	no paralog
0061	montandoni	no data
0061	vulgaris	no data
0062	graecus	no paralog
0062	hybF2	no paralog
0062	montandoni	no data
0062	vulgaris	no data
0063	graecus	paralog
0063	hybF2	paralog
0063	montandoni	no data
0063	vulgaris	no data
0064	graecus	no paralog
0064	hybF2	no paralog
0064	montandoni	no data
0064	vulgaris	no data
0065	graecus	paralog
0065	hybF2	paralog
0065	montandoni	no data
0065	vulgaris	no data
0066	graecus	no paralog
0066	hybF2	no paralog
0066	montandoni	no data
0066	vulgaris	no data
0067	graecus	no paralog
0067	hybF2	no paralog
0067	montandoni	no data
0067	vulgaris	no data
0068	graecus	no paralog
0068	hybF2	no paralog
0068	montandoni	no data
0068	vulgaris	no data
0069	graecus	no data
0069	hybF2	no data
0069	montandoni	no data
0069	vulgaris	no data
0070	graecus	no paralog
0070	hybF2	no paralog
0070	montandoni	no data
0070	vulgaris	no data
0071	graecus	no paralog
0071	hybF2	no data
0071	montandoni	no data
0071	vulgaris	no data
0072	graecus	no paralog
0072	hybF2	no paralog
0072	montandoni	no data
0072	vulgaris	no data
0073	graecus	no paralog
0073	hybF2	no paralog
0073	montandoni	no data
0073	vulgaris	no data
0074	graecus	no paralog
0074	hybF2	no paralog
0074	montandoni	no data
0074	vulgaris	no data
0075	graecus	paralog
0075	hybF2	no paralog
0075	montandoni	no data
0075	vulgaris	no data
0076	graecus	no data
0076	hybF2	no data
0076	montandoni	no data
0076	vulgaris	no data
0077	graecus	no paralog
0077	hybF2	no data
0077	montandoni	no data
0077	vulgaris	no data
0078	graecus	no paralog
0078	hybF2	no paralog
0078	montandoni	no data
0078	vulgaris	no data
0079	graecus	no paralog
0079	hybF2	no paralog
0079	montandoni	no data
0079	vulgaris	no data
0080	graecus	no data
0080	hybF2	no data
0080	montandoni	no data
0080	vulgaris	no data
0081	graecus	no paralog
0081	hybF2	no paralog
0081	montandoni	no data
0081	vulgaris	no data
0082	graecus	no paralog
0082	hybF2	no paralog
0082	montandoni	no data
0082	vulgaris	no data
0083	graecus	no paralog
0083	hybF2	no paralog
0083	montandoni	no data
0083	vulgaris	no data
0084	graecus	paralog
0084	hybF2	paralog
0084	montandoni	no data
0084	vulgaris	no data
0085	graecus	no paralog
0085	hybF2	no paralog
0085	montandoni	no data
0085	vulgaris	no data
0086	graecus	no paralog
0086	hybF2	no paralog
0086	montandoni	no data
0086	vulgaris	no data
0087	graecus	no paralog
0087	hybF2	no paralog
0087	montandoni	no data
0087	vulgaris	no data
0088	graecus	no paralog
0088	hybF2	no paralog
0088	montandoni	no data
0088	vulgaris	no data
0089	graecus	no paralog
0089	hybF2	no paralog
0089	montandoni	no data
0089	vulgaris	no data
0090	graecus	no data
0090	hybF2	no data
0090	montandoni	no data
0090	vulgaris	no data
0091	graecus	no paralog
0091	hybF2	no paralog
0091	montandoni	no data
0091	vulgaris	no data
0092	graecus	no paralog
0092	hybF2	no paralog
0092	montandoni	no data
0092	vulgaris	no data
0093	graecus	no paralog
0093	hybF2	no paralog
0093	montandoni	no data
0093	vulgaris	no data
0094	graecus	no paralog
0094	hybF2	no paralog
0094	montandoni	no data
0094	vulgaris	no data
0095	graecus	paralog
0095	hybF2	paralog
0095	montandoni	no data
0095	vulgaris	no data
0096	graecus	no paralog
0096	hybF2	paralog
0096	montandoni	no data
0096	vulgaris	no data
0097	graecus	no paralog
0097	hybF2	paralog
0097	montandoni	no data
0097	vulgaris	no data
